Wall time,Step,Value
1533642326.7386372,0,0.9196500182151794
1533642331.7000496,1,0.9731000065803528
1533642336.624001,2,0.979533314704895
1533642341.8211718,3,0.9827666878700256
1533642346.9039605,4,0.9865999817848206
1533642351.6301143,5,0.9869333505630493
1533642356.5525663,6,0.9886500239372253
1533642361.3596373,7,0.9894166588783264
1533642366.1557198,8,0.9896166920661926
1533642371.412829,9,0.9908833503723145
1533642376.5016115,10,0.9911500215530396
1533642381.5459387,11,0.9914166927337646
