Wall time,Step,Value
1533642326.7386372,0,0.2605521082878113
1533642331.7000496,1,0.08984514325857162
1533642336.624001,2,0.06839590519666672
1533642341.8211718,3,0.05658107250928879
1533642346.9039605,4,0.04589509963989258
1533642351.6301143,5,0.04310028254985809
1533642356.5525663,6,0.03848370909690857
1533642361.3596373,7,0.035803332924842834
1533642366.1557198,8,0.03275001794099808
1533642371.412829,9,0.030226627364754677
1533642376.5016115,10,0.028191110119223595
1533642381.5459387,11,0.027094684541225433
